name,props_count,difficulty,tags,comment
"12c 966 -> d888822 5up 360 -> cascade",7,73,"360 spin|async siteswap",
"867 -> 1 high 4 low 360 -> (8,6x)*",7,85,"360 spin|sync siteswap","spin notation: ex9x89x822"
"24c 531",3,7,"async siteswap",
"24c 531 on the knees",3,10,"async siteswap|on the knees",
"36c 801",3,23,"async siteswap","Entrance: 46"
"20c 45123",3,9,"async siteswap",
"30c 44133",3,8,"async siteswap",
"6c 60 -> exactly 5c 50505 -> 6c 60",3,21,"async siteswap","start: 3 in one hand"
"box -> 8c inverted box -> box",3,15,"async siteswap",
"24c 534",4,12,"async siteswap",
"18c 633",4,17,"async siteswap",
"24c 714",4,22,"async siteswap","Entrance: 55"
"60c 741",4,22,"async siteswap","Entrance: 5"
"60c 561",4,20,"async siteswap","Entrance: 5"
"42c 831",4,23,"async siteswap","Entrance: 6"
"8c 7531, under the leg 1",4,24,"async siteswap|under legs",
"24c 53534",4,19,"async siteswap",
"30c 63551",4,22,"async siteswap",
"20c 55613",4,24,"async siteswap",
"50c 66161",4,22,"async siteswap","Entrance: 5"
"50c 73334",4,19,"async siteswap",
"40c 74414",4,17,"async siteswap",
"30c 75314",4,18,"async siteswap",
"20c 66314",4,18,"async siteswap",
"10c 83531",4,17,"async siteswap",
"32c (6x,4)(4,2x)*",4,15,"sync siteswap",
"32c (4x,6)(4,2x)*",4,16,"sync siteswap",
"async fountain -> sync fountain -> async fountain",4,12,"async siteswap","transitions: 5x4, (5x,4)"
"18c 534 -> 20c 53444",4,15,"async siteswap",
"30c 744",5,25,"async siteswap",
"18c 645",5,24,"async siteswap",
"cascade -> 6c 663 -> cascade",5,26,"async siteswap",
"30c 771",5,38,"async siteswap","entrance: 75"
"24c 834",5,37,"async siteswap","entrance: 6"
"30c 933",5,62,"async siteswap","entrance: 7"
"cascade -> 5c 97531 -> cascade",5,28,"async siteswap",
"cascade -> 5c 88441 -> cascade",5,30,"async siteswap",
"40c 64645",5,33,"async siteswap",
"50c 66364",5,37,"async siteswap",
"30c 67363",5,41,"async siteswap",
"30c 74734",5,36,"async siteswap",
"30c 64753",5,41,"async siteswap",
"50c 74635",5,41,"async siteswap",
"50c 75751",5,37,"async siteswap",
"30c 77335",5,45,"async siteswap",
"30c 78451",5,47,"async siteswap",
"30c 74464",5,31,"async siteswap",
"20c 84463",5,36,"async siteswap",
"20c 94444",5,32,"async siteswap",
"744 -> 5c 97531 -> 645",5,30,"async siteswap",
"6c 753 -> 5c 97531 -> cascade",5,30,"async siteswap",
"5c cascade -> 7c b444444 -> backrosses",5,45,"async siteswap|backcrosses",
"32c (6x,4x)(6,4x)*",5,29,"sync siteswap",
"24c (6,4)(6x,4)*",5,28,"sync siteswap",
"36c (6,4)(6x,4)(6x,4x)*",5,33,"sync siteswap",
"36c 756",6,38,"async siteswap",
"30c a44",6,57,"async siteswap","entrance: 8"
"30c 891",6,67,"async siteswap","entrance: 778"
"30c 96636",6,61,"async siteswap",
"30c 77736",6,58,"async siteswap",
"30c 78456",6,59,"async siteswap",
"50c 85845",6,59,"async siteswap",
"30c 88446",6,54,"async siteswap",
"20c 79455",6,54,"async siteswap",
"20c 95556",6,47,"async siteswap",
"30c 79635",6,58,"async siteswap",
"20c 99444",6,51,"async siteswap",
"20c a5753",6,65,"async siteswap",
"cascade -> 966",7,55,"async siteswap",
"7c cascade -> 5c aa555 -> 7c cascade",7,53,"async siteswap",
"7c cascade -> 5c 99944 -> 7c cascade",7,51,"async siteswap",
"7c cascade -> 6c 975 -> 7c cascade",7,50,"async siteswap",
"cascade -> 5c b9753 -> cascade",7,57,"async siteswap",
"978",8,72,"async siteswap",
"996",8,74,"async siteswap",
"97996",8,79,"async siteswap",
"backrosses",3,15,"backcrosses",
"10c neck throws",3,24,"necks",
"24c 423, backross 3",3,19,"backcrosses|async siteswap",
"24c 423, shoulder 4",3,23,"shoulders|async siteswap",
"overheads -> 3c overhead reverse shoulder -> 3c backrosses -> overheads",3,33,"overheads|reverse shoulders|backcrosses","The impossible trick"
"6c under the leg throws",3,19,"under legs",
"cc111111111, around the body 1's",3,70,"special body throws",
"10c 44133, backrosses 3's",3,18,"backcrosses|async siteswap",
"reverse shoulders async fountain",4,42,"reverse shoulders|async siteswap",
"4c ANY -> 1c ass catch -> ANY",4,41,"special body throws",
"fountain -> 2c reverse shoulders -> 2c shoulders -> fountain",4,28,"reverse shoulders|shoulders",
"8c penguins",4,26,"special body throws",
"20c laying on the back",4,25,"on the back|overheads",
"overheads -> 4c overhead reverse shoulders -> 4c shoulders -> overheads",4,49,"overheads|reverse shoulders|shoulders","The impossible trick"
"5c 94444, shoulders 4's",5,43,"shoulders|async siteswap",
"18c 645, shoulder 4",5,45,"shoulders|async siteswap",
"30c overheads",5,36,"overheads",
"overheads -> 6c 744 overheads -> overheads",5,40,"overheads|async siteswap",
"10c laying on the back",5,32,"on the back|overheads",
"half shower -> overheads -> other side half shower",5,40,"overheads",
"cascade -> 8c 7733, neck throws 3's",5,82,"necks|async siteswap",
"756 -> 6c 756, backross 5 -> 756",6,66,"backcrosses|async siteswap",
"6c fountain -> 6c overheads -> 6c fountain",6,45,"overheads",
"12c 774 -> 12c 774, shoulder 4",6,62,"shoulders|async siteswap",
"cascade -> 7c backrosses",7,74,"backcrosses" 
